,vdis,beta_con,DNI,DIF,mcpi
0,1.3118461389160156,1.1299991803896484e+24,296.8351,123.998436,0.9500404011132001
1,1.3118421677722854,1.1279246899813746e+24,290.54355,125.74615,0.7731930972296797
2,1.3118286833190922,1.1279490095968015e+24,296.5752,123.71484,0.9962977047544768
3,1.0903775,4.6182879699999994e+23,293.89227,124.445694,0.8412276981336335
4,1.3118398092447225,1.127930791848348e+24,295.8408,124.13849,0.9670190706081874
5,1.2010562500000002,7.949734479999999e+23,294.24048,124.54361,0.9262690184475022
6,1.3118619719696047,1.1278021902566527e+24,294.0186,124.72327,0.9589061185395926
7,1.3118420663357369,1.1279248763733482e+24,290.54355,125.74615,0.7731930972296797
8,1.3110871704101563,1.1265118006308591e+24,296.13208,124.29656,0.9871057574793141
9,1.3118420713708139,1.1279248476812592e+24,290.54355,125.74615,0.7731930972296797
10,0.869715,1.4955787099999998e+23,293.86127,124.41951,0.8466482503061028
11,1.3118496159839634,1.1279220702098921e+24,295.3151,124.277824,0.933124897249563
12,1.31003279296875,1.1367415566406248e+24,297.25824,123.920235,1.0187012059249891
13,1.3118362326526647,1.1279462258389205e+24,294.09396,125.080376,0.8862900850627623
14,1.311842065391776,1.1279249435900734e+24,295.43427,123.69839,0.9808680096764544
15,1.3118420728918458,1.1279248493200171e+24,290.54355,125.74615,0.7731930972296797
16,1.3118404688379173,1.1279260437933493e+24,294.58383,124.81689,0.9122205974054847
17,1.3118420729705094,1.1279248437186233e+24,290.54355,125.74615,0.7731930972296797
18,1.3119087500000004,1.2166226929999998e+24,297.9985,123.40567,1.0515511904093393
19,1.311735,1.1281180989999998e+24,291.11087,125.78297,0.8086014250448218
20,1.3118379915678506,1.1279335643589237e+24,292.47113,125.10694,0.8981977090369944
21,1.3118554499816897,1.127900698338745e+24,299.3921,123.03969,1.0675764496738351
22,1.4,1.1072443739999998e+24,293.8256,125.11363,0.8647407965094136
23,1.3118955999755864,1.12782823145166e+24,293.59164,124.81815,0.8540367399700588
24,1.3118391496515278,1.1279355399033468e+24,296.1592,124.02276,0.9091753381415408
25,1.31104,7.740997229999999e+23,292.08405,125.11223,0.8138767655338754
26,1.3118420660210834,1.1279248987789232e+24,290.54355,125.74615,0.7731930972296797
28,1.3118408280153577,1.1279286142505605e+24,298.67477,123.36655,1.0932683737425293
29,1.3117885333251955,1.1280214764838866e+24,295.8046,124.12682,1.0072237788629976
30,1.3118433052854244,1.1279210936849863e+24,297.43906,123.550964,0.9960642550373148
31,1.3118420792906278,1.1279248334694735e+24,290.54355,125.74615,0.7731930972296797
32,1.3100653710937502,1.1533361680156249e+24,297.99115,124.08983,1.0346477480081517
33,1.3391440625,1.0786473707499999e+24,297.3556,123.830315,0.9776943639401492
34,1.3118420682304206,1.1279248514054857e+24,290.54355,125.74615,0.7731930972296797
35,1.3117322851562505,1.1267352147187497e+24,295.5052,124.39663,1.0019986265998653
36,1.3118218750000001,1.1723703959999999e+24,294.76804,124.9285,0.9048487747007476
37,1.311842142177158,1.1279247533835493e+24,290.54355,125.74615,0.7731930972296797
38,1.3117458593750002,1.1336496361249999e+24,296.67108,123.91862,0.995015089788442
39,1.3118146212768558,1.1276274441555175e+24,294.8352,124.67341,0.9015678097583371
