,zmconv_c0_lnd,LWCF,SWCF,PRECT
0,0.0077585000000000015,39.96458435058594,-73.28852081298828,7.4154662854653e-08
1,0.005516500000000001,43.118011474609375,-77.57006072998047,7.483060215918158e-08
2,0.007109500000000001,41.0326042175293,-72.9542007446289,7.529355627866607e-08
3,0.005634500000000001,41.18933868408203,-76.06263732910156,7.458356066081251e-08
4,0.005811500000000001,41.9639892578125,-77.68782806396484,7.409047952933179e-08
5,0.0043955,45.16735076904297,-84.14143371582031,7.439101068484888e-08
6,0.005752500000000001,41.9395866394043,-79.21916961669922,7.407400204328951e-08
7,0.0084075,39.032798767089844,-70.93150329589844,7.518030997744063e-08
8,0.005870500000000001,41.659881591796875,-75.2508773803711,7.478360686263841e-08
9,0.0045725,44.86695861816406,-82.38715362548828,7.457882844619235e-08
10,0.006755500000000001,40.574501037597656,-76.64867401123047,7.374861610287553e-08
11,0.006873500000000001,40.955997467041016,-75.91407012939453,7.351847131076283e-08
12,0.0073455,38.883087158203125,-71.2937240600586,7.464802109780067e-08
13,0.0041595,45.6068229675293,-85.21782684326172,7.44216421821875e-08
14,0.006696500000000001,40.79114532470703,-76.14208221435547,7.388379685835389e-08
15,0.0042775,45.5822639465332,-82.71675872802734,7.478155339413206e-08
16,0.006106500000000001,41.6558952331543,-79.01041412353516,7.440980454020973e-08
17,0.007581500000000001,38.889278411865234,-75.06459045410156,7.466575624448524e-08
18,0.0033335,49.567813873291016,-87.20707702636719,7.36164480485968e-08
19,0.0044545,45.034149169921875,-80.2552261352539,7.45273709412686e-08
20,0.0087025,37.8454704284668,-70.65499114990234,7.471458474128667e-08
21,0.0081125,38.59196853637695,-71.39617156982422,7.47715418469852e-08
22,0.0082305,38.6484260559082,-72.771728515625,7.507283328322956e-08
23,0.0053985000000000005,42.81056213378906,-75.55561065673828,7.504115728806937e-08
24,0.008525500000000002,38.983943939208984,-74.06790161132812,7.470669771691973e-08
25,0.0076995000000000015,39.70975112915039,-73.4276123046875,7.500582910324738e-08
26,0.0034514999999999997,50.423824310302734,-86.52796936035156,7.37666709937912e-08
27,0.007404500000000001,39.098594665527344,-70.69668579101562,7.46280548469258e-08
28,0.0080535,39.551753997802734,-72.57035827636719,7.517556355196575e-08
29,0.0051625,43.8761100769043,-78.72975158691406,7.474393015627356e-08
30,0.008584500000000002,38.645111083984375,-74.39048767089844,7.457110484665463e-08
31,0.0038645,45.44300842285156,-80.56436920166016,7.393931866772618e-08
32,0.005575500000000001,42.32818603515625,-78.4394302368164,7.433875737206108e-08
33,0.0081715,38.91233444213867,-72.71726989746094,7.509980548547901e-08
34,0.006932500000000001,39.74946975708008,-72.37151336669922,7.454990225141955e-08
35,0.0047495,43.774967193603516,-79.55905151367188,7.45340074104206e-08
36,0.0043365,44.918800354003906,-81.63069915771484,7.46352952774032e-08
