,zmconv_c0_lnd,cldfrc_rhminl,LWCF,SWCF,PRECT
0,0.006047500000000001,0.89525,41.07745361328125,-72.325927734375,7.495599874118852e-08
1,0.0030385,0.8472500000000001,51.754878997802734,-91.931396484375,7.3548775958443e-08
2,0.0079945,0.94175,38.712059020996094,-68.5361557006836,7.500716492359061e-08
3,0.0081715,0.85625,39.09627151489258,-71.91954803466797,7.51336415305559e-08
4,0.005811500000000001,0.91625,42.490352630615234,-76.32839965820312,7.462940487812375e-08
5,0.006637500000000001,0.92675,41.64537048339844,-73.03758239746094,7.38659480248316e-08
6,0.006873500000000001,0.84125,40.254695892333984,-77.56713104248047,7.452597117207915e-08
7,0.0080535,0.8097500000000001,39.15471649169922,-78.40721130371094,7.378000077551405e-08
8,0.0039235,0.83375,45.271568298339844,-85.302978515625,7.426735493254455e-08
9,0.007109500000000001,0.83525,40.68136215209961,-73.31254577636719,7.508658228516651e-08
10,0.005575500000000001,0.88475,43.96330642700195,-78.43058776855469,7.450748285009468e-08
11,0.006106500000000001,0.87125,41.169559478759766,-77.93223571777344,7.437397897547271e-08
12,0.0064605,0.92975,40.731773376464844,-77.15259552001953,7.408628022176345e-08
13,0.0051625,0.8157500000000001,43.345428466796875,-81.5951919555664,7.400492307851891e-08
14,0.0064015,0.85475,40.307037353515625,-77.0057601928711,7.454347894508828e-08
15,0.0035695,0.9252499999999999,50.29352569580078,-84.9380874633789,7.439731319891507e-08
16,0.007404500000000001,0.84575,40.23964309692383,-77.96092224121094,7.423722792054832e-08
17,0.007050500000000001,0.8967499999999999,40.69605255126953,-72.49000549316406,7.52389865965597e-08
18,0.0032745,0.91925,51.28044891357422,-86.9068374633789,7.368286247810829e-08
19,0.0042775,0.93575,45.560951232910156,-83.07184600830078,7.427885151400915e-08
20,0.006165500000000001,0.89975,41.06865310668945,-75.3802490234375,7.450412198295453e-08
21,0.0035105,0.8067500000000001,47.650596618652344,-91.22504425048828,7.326476492153233e-08
22,0.007463500000000001,0.88325,39.13329315185547,-73.79595184326172,7.475126295730661e-08
23,0.0051035,0.8532500000000001,42.677452087402344,-77.54402160644531,7.494761433690655e-08
24,0.008584500000000002,0.92825,38.79664611816406,-73.07276916503906,7.433444437765502e-08
25,0.0033335,0.94025,52.272621154785156,-89.94571685791016,7.415336256144656e-08
26,0.005988500000000001,0.90725,41.702239990234375,-79.2621078491211,7.393835943503291e-08
27,0.0079355,0.93875,39.79433822631836,-75.6914291381836,7.45133448276647e-08
28,0.0031565,0.89825,51.69391632080078,-91.4028549194336,7.34452925144069e-08
29,0.005634500000000001,0.86225,40.88435363769531,-77.00203704833984,7.433074955542907e-08
30,0.0037465,0.80825,47.155784606933594,-91.88690185546875,7.336985419215125e-08
31,0.006755500000000001,0.83825,40.15900802612305,-78.894287109375,7.477026997548819e-08
32,0.0033925,0.8907499999999999,50.35557556152344,-90.48066711425781,7.31260598740846e-08
33,0.0087615,0.88775,39.34145736694336,-74.80426788330078,7.467922102932789e-08
34,0.0078765,0.88625,39.394012451171875,-73.94818878173828,7.469265739246111e-08
